"","sexe","situation","the","cafe","taille","poids","age","viande","poisson","fruit_crus","fruit_legume_cuits","chocol","matgras"
"188","Femme","Vit en couple",6,0,"158",62,75,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Jamais","Margarine"
"189","Homme","Vit en couple",0,2,"182",90,66,"Tous les jours","1 fois/sem","Tous les jours","2/3 fois/sem","<1 fois/sem","Olive"
"190","Femme","Vit dans sa famille",1,0,"164",64,77,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","4/6 1 fois/sem","Olive"
"191","Femme","Vit seul",0,2,"156",68,72,"2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","<1 fois/sem","Beurre"
"192","Homme","Vit en couple",0,2,"172",91,73,"1 fois/sem","4/6 1 fois/sem","Tous les jours","4/6 1 fois/sem","<1 fois/sem","Olive"
"193","Homme","Vit en couple",0,2,"162",75,65,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","<1 fois/sem","Arachide"
"194","Femme","Vit en couple",0,1,"150",48,73,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"195","Femme","Vit seul",2,1,"160",65,81,"4/6 1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","4/6 1 fois/sem","Arachide"
"196","Femme","Vit seul",0,2,"152",54,69,"2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","4/6 1 fois/sem","Margarine"
"197","Homme","Vit seul",0,2,"165",54,70,"2/3 fois/sem","2/3 fois/sem","Tous les jours","1 fois/sem","<1 fois/sem","Margarine"
"198","Femme","Vit en couple",0,3,"155",63,71,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Tournesol"
"199","Homme","Vit en couple",0,2,"168",67,73,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Tournesol"
"200","Femme","Vit dans sa famille",0,1,"154",63,74,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Jamais","Isio4"
"201","Homme","Vit en couple",0,0,"176",74,72,"2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","2/3 fois/sem","Beurre"
"202","Femme","Vit seul",3,1,"154",53,71,"2/3 fois/sem","<1 fois/sem","2/3 fois/sem","<1 fois/sem","4/6 1 fois/sem","Arachide"
"203","Homme","Vit seul",0,2,"168",67,69,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"204","Femme","Vit en couple",0,1,"163",61,66,"1 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","4/6 1 fois/sem","Isio4"
"205","Homme","Vit en couple",0,1,"177",80,74,"1 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","4/6 1 fois/sem","Isio4"
"206","Homme","Vit en couple",4,2,"168",73,67,"1 fois/sem","4/6 1 fois/sem","Tous les jours","2/3 fois/sem","Jamais","Olive"
"207","Femme","Vit seul",0,2,"171",65,76,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"208","Femme","Vit seul",5,1,"160",62,84,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Margarine"
"209","Femme","Vit seul",0,3,"168",64,84,"2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","Tous les jours","Olive"
"210","Femme","Vit seul",2,2,"160",48,78,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Tournesol"
"211","Homme","Vit en couple",4,1,"177",67,76,"4/6 1 fois/sem","Tous les jours","<1 fois/sem","Tous les jours","Jamais","Arachide"
"212","Femme","Vit dans sa famille",0,2,"160",80,71,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","<1 fois/sem","Margarine"
"213","Homme","Vit en couple",0,3,"165",76,80,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Olive"
"214","Femme","Vit en couple",1,0,"157",80,79,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"215","Homme","Vit en couple",0,1,"176",73,66,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Olive"
"216","Femme","Vit en couple",0,1,"151",48,66,"4/6 1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Olive"
"217","Femme","Vit en couple",0,5,"153",53,69,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Olive"
"218","Femme","Vit en couple",2,0,"165",64,75,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Olive"
"219","Homme","Vit en couple",0,0,"171",85,73,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","<1 fois/sem","Olive"
"220","Homme","Vit en couple",0,5,"167",76,82,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Isio4"
"221","Femme","Vit en couple",2,1,"157",58,77,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Isio4"
"222","Femme","Vit seul",0,1,"160",73,74,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Isio4"
"223","Femme","Vit en couple",0,3,"163",62,68,"4/6 1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","<1 fois/sem","Arachide"
"224","Homme","Vit en couple",0,2,"170",74,71,"4/6 1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","<1 fois/sem","Arachide"
"225","Femme","Vit seul",0,2,"154",45,77,"4/6 1 fois/sem","2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","Olive"
"226","Femme","Vit en couple",2,0,"159",63,69,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
